Mode : Genic scale
chromosome X de data/genesST.Homo.sapiens.list.bz2	beginC1	endC1	chromosome X de data/genesST.Mus.musculus.list.bz2	beginC2	endC2	length in ancestral genes
c1	beg1	end1	c2	beg2	end2	hps	pVal
X	336	561	X	538	810	190	0
X	590	787	X	252	444	125	0
X	42	113	X	872	940	62	0
X	138	207	X	73	143	50	2.02165386794e-135
X	206	277	X	14	60	45	5.54493482168e-137
X	790	823	X	443	477	31	4.54855734567e-92
X	114	149	X	492	535	26	6.04815942498e-67
X	299	318	X	826	843	18	4.43901518878e-55
X	571	592	X	201	248	16	7.70080438506e-42
X	327	331	X	850	853	4	4.39080565033e-13
X	566	570	X	147	150	4	2.19540282516e-12
X	586	589	X	218	221	4	4.39080565033e-13
X	128	131	X	510	519	3	2.55606552058e-08
X	742	757	X	396	398	3	3.58516521415e-08
X	815	828	X	666	672	3	1.78450915804e-06
X	815	828	X	667	672	3	1.78450915804e-06
X	37	38	X	845	846	2	9.34677024211e-07
X	275	277	X	14	16	2	8.40546301911e-06
X	325	326	X	848	849	2	9.34677024211e-07
X	508	510	X	756	757	2	9.34677024211e-07
X	788	789	X	443	444	2	9.34677024211e-07
