Mode : Genic scale
chromosome X de data/genesST.Homo.sapiens.list.bz2	beginC1	endC1	chromosome X de data/genesST.Mus.musculus.list.bz2	beginC2	endC2	length in ancestral genes
c1	beg1	end1	c2	beg2	end2	hps	pVal
X	336	446	X	538	673	100	0
X	448	561	X	694	810	90	0
X	42	113	X	872	940	61	0
X	590	662	X	252	325	50	0.0
X	206	277	X	14	60	45	0.0
X	147	192	X	78	135	39	0.0
X	758	787	X	419	444	26	0.0
X	665	694	X	335	362	21	0.0
X	726	752	X	385	405	19	0.0
X	790	810	X	443	461	19	0.0
X	299	318	X	826	843	18	0.0
X	126	149	X	492	510	15	0.0
X	571	585	X	201	217	15	0.0
X	808	823	X	465	477	12	0.0
X	114	125	X	519	535	11	0.0
X	196	206	X	136	146	9	0.0
X	707	720	X	368	384	8	0.0
X	327	331	X	850	853	4	1.46440327642e-08
X	566	570	X	147	150	4	5.85731676495e-08
X	586	589	X	218	221	4	1.46440327642e-08
X	128	131	X	510	519	3	0.000681738581937
