Tandem Blocks scale
chromosome X de data/genesST.Homo.sapiens.list.bz2	beginC1	endC1	chromosome X de data/genesST.Mus.musculus.list.bz2	beginC2	endC2	length in families
c1	beg1	end1	c2	beg2	end2	hps	pVal
X	12	14	X	544	542	3	None
X	16	79	X	620	553	61	None
X	155	196	X	43	2	42	None
X	201	219	X	541	523	19	None
X	220	221	X	546	545	2	None
X	222	225	X	547	550	4	None
X	226	226	X	551	551	1	0
X	428	428	X	281	281	1	0
X	80	88	X	311	301	9	None
X	91	105	X	298	286	13	None
X	89	90	X	299	300	2	None
X	106	107	X	47	48	2	None
X	109	154	X	50	94	45	None
X	108	108	X	49	49	1	0
X	227	286	X	314	374	58	None
X	288	377	X	376	471	86	None
X	380	380	X	475	475	1	None
X	382	383	X	476	477	2	None
X	385	385	X	478	478	1	None
X	386	427	X	480	521	41	None
X	287	287	X	375	375	1	0
X	378	379	X	473	472	2	None
X	381	381	X	474	474	1	None
X	384	384	X	479	479	1	None
X	429	447	X	95	116	19	None
X	452	469	X	121	138	17	None
X	471	526	X	140	197	54	None
X	528	608	X	200	280	76	None
X	448	451	X	119	117	3	None
X	470	470	X	139	139	1	0
X	527	527	X	198	198	1	0
