Mode : Genic scale
chromosome X de data/Homo.sapiens.genome.bz2	beginC1	endC1	chromosome X de data/Mus.musculus.genome.bz2	beginC2	endC2	length in families
c1	beg1	end1	c2	beg2	end2	hps	pVal
X	36	38	X	840	864	3	None
X	41	111	X	934	865	61	None
X	208	268	X	60	17	42	None
X	284	303	X	837	819	19	None
X	310	311	X	842	841	2	None
X	312	315	X	843	846	4	None
X	317	318	X	849	849	1	0
X	549	549	X	480	480	1	0
X	112	121	X	532	521	9	None
X	125	146	X	510	494	13	None
X	122	124	X	514	519	2	None
X	147	148	X	80	82	2	None
X	150	207	X	87	147	44	None
X	149	149	X	85	85	1	0
X	320	388	X	535	606	58	None
X	391	492	X	609	747	86	None
X	497	497	X	753	753	1	None
X	499	500	X	754	755	2	None
X	502	502	X	756	756	1	None
X	503	547	X	758	804	41	None
X	389	389	X	607	607	1	0
X	493	495	X	749	748	2	None
X	498	498	X	752	752	1	None
X	501	501	X	757	757	1	None
X	550	569	X	148	219	19	None
X	574	609	X	252	281	17	None
X	611	684	X	283	363	54	None
X	697	809	X	370	479	75	None
X	570	573	X	222	220	3	None
X	610	610	X	282	282	1	0
X	687	687	X	365	365	1	0
