Mode : Genic scale
chromosome X de data/genesST.Homo.sapiens.list.bz2	beginC1	endC1	chromosome X de data/genesST.Mus.musculus.list.bz2	beginC2	endC2	length in ancestral genes
c1	beg1	end1	c2	beg2	end2	hps	pVal
X	336	446	X	538	673	100	0
X	483	561	X	730	810	66	0
X	42	113	X	872	940	62	0
X	590	662	X	252	325	51	0
X	138	207	X	73	143	50	0.0
X	206	277	X	14	60	45	0.0
X	790	823	X	443	477	31	0.0
X	707	752	X	368	405	27	0.0
X	758	787	X	419	444	26	0.0
X	114	145	X	495	535	25	0.0
X	448	478	X	694	723	24	0.0
X	665	694	X	335	362	21	0.0
X	299	318	X	826	843	18	0.0
X	571	585	X	201	217	15	0.0
X	327	331	X	850	853	4	1.46440327642e-08
X	566	570	X	147	150	4	5.85731676495e-08
X	586	589	X	218	221	4	1.46440327642e-08
X	128	131	X	510	519	3	0.000681738581937
