Tandem Blocks scale
chromosome X de data/genesST.Homo.sapiens.list.bz2	beginC1	endC1	chromosome X de data/genesST.Mus.musculus.list.bz2	beginC2	endC2	length in ancestral genes
c1	beg1	end1	c2	beg2	end2	hps	pVal
X	285	504	X	390	618	190	0
X	533	692	X	152	312	125	0
X	34	103	X	658	724	62	0
X	127	194	X	48	102	50	2.06242726784e-135
X	193	241	X	3	47	45	5.62722584532e-137
X	695	726	X	311	345	31	4.56589061942e-92
X	104	138	X	353	387	26	6.0558180952e-67
X	252	271	X	624	641	18	4.43338408588e-55
X	514	535	X	130	150	16	7.68843961161e-42
X	278	281	X	648	651	4	4.38588105943e-13
X	509	513	X	105	108	4	2.19294052971e-12
X	529	532	X	146	149	4	4.38588105943e-13
X	118	121	X	371	375	3	2.55379984178e-08
X	656	663	X	270	272	3	3.58198742092e-08
X	718	730	X	503	507	3	1.78292705161e-06
X	718	730	X	503	507	3	1.78292705161e-06
X	29	30	X	643	644	2	9.34096528032e-07
X	239	241	X	3	5	2	8.40024250145e-06
X	276	277	X	646	647	2	9.34096528032e-07
X	453	454	X	568	569	2	9.34096528032e-07
X	693	694	X	311	312	2	9.34096528032e-07
